,predict proba,predict value
TCGA-DJ-A2QB-01,0.6084356904029846,N1
TCGA-DJ-A2QC-01,0.0054962653666734695,N0
TCGA-DJ-A3UK-01,0.5872592926025391,N1
TCGA-DJ-A3UM-01,0.9565005302429199,N1
TCGA-DJ-A3UN-01,0.00704676890745759,N0
TCGA-DJ-A3UO-01,0.9159544706344604,N1
TCGA-DJ-A3UP-01,0.9973952770233154,N1
TCGA-DJ-A3UQ-01,0.8515949845314026,N1
TCGA-DJ-A3UR-01,0.00016135182522702962,N0
TCGA-DJ-A3US-01,0.9980329871177673,N1
TCGA-DJ-A3UT-01,0.10909910500049591,N0
TCGA-DJ-A3UU-01,0.5860971808433533,N1
TCGA-DJ-A3UV-01,0.9934836030006409,N1
TCGA-DJ-A3UW-01,0.8016726970672607,N1
TCGA-DJ-A3UX-01,0.7549262642860413,N1
TCGA-DJ-A3UY-01,0.6022736430168152,N1
TCGA-DJ-A3UZ-01,0.7252540588378906,N1
TCGA-DJ-A3V0-01,0.9579585194587708,N1
TCGA-DJ-A3V2-01,0.00025527423713356256,N0
TCGA-DJ-A3V3-01,0.22316737473011017,N0
TCGA-DJ-A3V4-01,0.6879780888557434,N1
TCGA-DJ-A3V5-01,0.9604499340057373,N1
TCGA-DJ-A3V6-01,0.28990834951400757,N0
TCGA-DJ-A3V7-01,0.9881596565246582,N1
TCGA-DJ-A3V8-01,0.9845339059829712,N1
TCGA-DJ-A3V9-01,0.9821015000343323,N1
TCGA-DJ-A3VA-01,0.871446967124939,N1
TCGA-DJ-A3VB-01,0.32705703377723694,N0
TCGA-DJ-A3VD-01,0.8181500434875488,N1
TCGA-DJ-A3VE-01,0.8873014450073242,N1
TCGA-DJ-A3VF-01,0.999476969242096,N1
TCGA-DJ-A3VG-01,0.999039351940155,N1
TCGA-DJ-A3VJ-01,0.9747660160064697,N1
TCGA-DJ-A3VL-01,1.2058055290253833e-05,N0
TCGA-DJ-A3VM-01,0.9784501194953918,N1
TCGA-DJ-A4UL-01,0.0006566487136296928,N0
TCGA-DJ-A4UP-01,0.7920925617218018,N1
TCGA-DJ-A4UQ-01,0.9913642406463623,N1
TCGA-DJ-A4UR-01,0.9995104074478149,N1
TCGA-DJ-A4UT-01,0.8445412516593933,N1
TCGA-DJ-A4UW-01,0.9400996565818787,N1
TCGA-DJ-A4V0-01,0.9962242841720581,N1
TCGA-DJ-A4V2-01,0.9746273756027222,N1
TCGA-DJ-A4V4-01,0.8483600616455078,N1
TCGA-DJ-A4V5-01,0.9963790774345398,N1
TCGA-DO-A1K0-01,0.9061000347137451,N1
TCGA-DO-A2HM-01,0.9055078029632568,N1
TCGA-E3-A3DY-01,0.4775199592113495,N0
TCGA-E3-A3DZ-01,0.9989479184150696,N1
TCGA-E3-A3E0-01,0.30578485131263733,N0
TCGA-E3-A3E1-01,0.8806354999542236,N1
TCGA-E3-A3E2-01,0.831885039806366,N1
TCGA-E3-A3E3-01,0.9840366244316101,N1
TCGA-E3-A3E5-01,0.9979069232940674,N1
TCGA-E8-A242-01,0.43797361850738525,N0
TCGA-E8-A2EA-01,0.6613513231277466,N1
TCGA-E8-A2JQ-01,0.9926181435585022,N1
TCGA-E8-A3X7-01,0.27694594860076904,N0
TCGA-E8-A413-01,0.7215889096260071,N1
TCGA-E8-A414-01,0.26680734753608704,N0
TCGA-E8-A415-01,0.9593103528022766,N1
TCGA-E8-A416-01,0.9997071623802185,N1
TCGA-E8-A417-01,0.9893879890441895,N1
TCGA-E8-A418-01,0.7222234606742859,N1
TCGA-E8-A419-01,0.9010441899299622,N1
TCGA-E8-A432-01,0.0008491626940667629,N0
TCGA-E8-A433-01,0.9851295948028564,N1
TCGA-E8-A434-01,0.997994065284729,N1
TCGA-E8-A436-01,0.017229974269866943,N0
TCGA-E8-A438-01,0.9911438226699829,N1
TCGA-E8-A44K-01,0.9298348426818848,N1
TCGA-E8-A44M-01,0.8075271248817444,N1
TCGA-EL-A3CM-01,0.8197706341743469,N1
TCGA-EL-A3CN-01,0.9794989228248596,N1
TCGA-EL-A3CO-01,0.49953997135162354,N0
TCGA-EL-A3CR-01,0.579927921295166,N1
TCGA-EL-A3CS-01,0.9996253252029419,N1
TCGA-EL-A3CT-01,0.9999994039535522,N1
TCGA-EL-A3CU-01,0.9622477889060974,N1
TCGA-EL-A3CV-01,0.9822984933853149,N1
TCGA-EL-A3CW-01,0.7500705718994141,N1
TCGA-EL-A3CX-01,1.8093614926328883e-05,N0
TCGA-EL-A3CY-01,0.9997721314430237,N1
TCGA-EL-A3CZ-01,0.9899168610572815,N1
TCGA-EL-A3D0-01,0.9999876022338867,N1
TCGA-EL-A3D1-01,0.9521077275276184,N1
TCGA-EL-A3D4-01,0.9870140552520752,N1
TCGA-EL-A3D5-01,0.992629885673523,N1
TCGA-EL-A3D6-01,0.9990041851997375,N1
TCGA-EL-A3GO-01,0.9998733997344971,N1
TCGA-EL-A3GP-01,0.997148334980011,N1
TCGA-EL-A3GQ-01,0.8616858124732971,N1
TCGA-EL-A3GS-01,0.9353572130203247,N1
TCGA-EL-A3GU-01,0.33576640486717224,N0
TCGA-EL-A3GV-01,0.04471498355269432,N0
TCGA-EL-A3GW-01,0.009266507811844349,N0
TCGA-EL-A3GX-01,0.2016657292842865,N0
TCGA-EL-A3GY-01,0.3034345209598541,N0
TCGA-EL-A3GZ-01,0.7994226217269897,N1
TCGA-EL-A3H1-01,4.380492413247339e-08,N0
TCGA-EL-A3H2-01,0.9987094402313232,N1
TCGA-EL-A3H3-01,0.9867178201675415,N1
TCGA-EL-A3H4-01,0.9996329545974731,N1
TCGA-EL-A3H5-01,1.0,N1
TCGA-EL-A3H7-01,0.9660630822181702,N1
TCGA-EL-A3H8-01,0.8043735027313232,N1
TCGA-EL-A3MW-01,0.001438856590539217,N0
TCGA-EL-A3MX-01,0.9886085987091064,N1
TCGA-EL-A3MZ-01,0.9997559189796448,N1
TCGA-EL-A3N2-01,0.9974416494369507,N1
TCGA-EL-A3T0-01,0.22983846068382263,N0
TCGA-EL-A3T1-01,0.0584547333419323,N0
TCGA-EL-A3T2-01,0.9436244368553162,N1
TCGA-EL-A3T3-01,0.6534084677696228,N1
TCGA-EL-A3T6-01,0.9911239147186279,N1
TCGA-EL-A3T7-01,0.0011136364191770554,N0
